input,output
"""나야. 복순 아빠야.""",라고 다시 물었다.
"""복순 아버지! 어떻게 된 거죠? 어서 들어오세요.""","어머니는 힘없이 대답했다. 하지만 그 다음에는 무엇을 말해야 할지 알 수 없었다.몇 해 전에 이 마을을 폭풍우가 강타했을 때, 그 후에는 울음소리만이 남았던 것을 성팔의 처는 기억했다. 오늘 밤의 폭풍우도 그 때와 같이 맹렬할 것을 밖에서 시끄러운 소리로 충분히 짐작할 수 있었다.모든 불길한 예감이 그의 가슴에서 자라났다. 더욱 선명하게 가슴을 파고들었다. 그러나 그는 그런 생각을 떨쳐버릴 것이라고 다짐했다. 남편의 새로운 배가 다시 무사히 돌아올 것이라고 믿었다. 그러나 남편이 탄 배가 다시 돌아온다는 것은 그에게는 어떤 기적을 기대하는 것과 같은 느낌이었다. 특히 어린 아들이 아버지의 안부를 걱정하는 질문을 하면서 자신을 위로하는 것은 그에게는 이제까지 경험해보지 못한 자기 위로였다.그는 마음이 혼미해졌다. 생각만으로라도 그는 그 자리에서 일어나 사나운 비를 맞으며 굳센 바람을 헤치고 난폭한 파도 사이로 남편의 배를 찾아갈 욕망이 있었다. 미치도록 거세게 휘날리는 조각배에서 손을 흔들면서 남편을 구해달라는 애태움이 그의 눈 앞에 나타났다. 그는 다시 이런 끔찍한 환영을 보지 않으려고 눈을 감았다. 하지만 감은 눈에는 더욱 분명히 그 현상이 보였다.아들은 어머니를 향해 말했다. 마치 무엇을 깨달은 듯이 어머니를 바라보며 말했다."
"""너 몇 살이야?""",어머니는 아무 말도 하지 않았다.밖에서는 비바람이 몹시 요란하게 불었다. 바람이 휙휙 소리를 내면 그 뒤에는 문에 부딪히는 빗방울의 소리가 박자를 맞추어 났다. 문틈으로 스며드는 바람에 등잔불이 흔들리었다. 가끔씩은 어둡게 꺼질 듯 가물거리기도 했다.
"""두 살이야... 말을 못해도 어떻게 알았을까.""",
"""우리 복순 아버지는 왜 아무 말도 하지 않아서 정말 답답하다.""",성팔의 처는 지난 여름에 비바람이 불던 그 날 밤을 생생히 기억하며 깨어 있었다. 그리고 그와 같이 애태웠던 그 이튿날 석양에 남편이 다가올 때 얼마나 기뻤는지를 상상해 보았다. 그래서 내일도 그런 기쁨을 느낄 수 있기를 바랐다.비바람의 소리는 점점 더 커져갔다. 성난 파도는 마치 이 어촌을 한 입에 삼키려는 듯이 바닷가에 가까이 와서 질펀하게 울었다.
"""우리 복순 아버지는 밤마다 어디를 가서 집에 오면 땀이 흘러내리며 옷이 젖어서... 누구에게도 말하지 마세요.""",
"""복순이와 복순 어머니는 잘 지내나요?""",
"""저녁을 준비했으니 좀 드세요. 찬은 없지만 맛있게 먹어보세요.""","문틈으로 스며든 바람이 기어들어가 등잔의 희미한 불을 꺼뜨렸다. 바람에 휘날리는 비의 빗방울이 문을 두드렸다. 파도의 울림은 마치 악마의 저주처럼 길게 울렸다. 이튿날 석양은 해가 비추고 바람이 잦아들었다. 비바람이 어촌의 모든 오염을 하룻밤 동안 씻어내어들었는지 들, 집, 바닷가 모래까지 더욱 깨끗해 보였다. 뒷산은 청량한 얼굴을 하고 공중에 떠서 황해를 바라보는 듯했다. 하지만 여전히 안정되지 못한 이 바다의 파도만이 전날 밤 폭풍우가 지나간 흔적을 말해주었다. 그러나 아직도 멀리서 보이는 돛을 단 배는 하나도 없었다. 아직도 공허한 물결만이 오르내리며 변화를 보였다.마을 사람들의 불안한 표정만이 바닷가에 끊임없이 나타났다. 그들은 전날 출발한 배가 돌아오길 기다렸지만, 돌아오는 배는 아무것도 없었다.하루가 더 지나도 돌아오지 않았다. 이틀을 기다려도 없었다.그들은 벌써 나아간 배가 돌아오는 것을 기적으로 여기기 시작했다. 그렇게 바람에 맞서 나아간 배가 무사히 마을로 돌아온 적은 드물었다. 그럼에도 불구하고 그들은 알면서도 바닷가에 나와 기다리지 않았다.폭풍우가 지난 이틀 후, 마을 사람들은 남아있는 배를 타고 행방불명인 동네 배를 찾아나갔다. 황해 가운데 외로이 떠 있는 B도 부근에서 많은 어선이 난파했다는 소식이 이 마을에 전해졌기 때문이었다. 이 소식을 듣고 희망을 품고 있던 T촌 가족들은 울음소리를 지르며 마을 곳곳에서 들려왔다. 마을은 수심한 암운으로 덮였다. 웃는 얼굴을 한 사람은 거의 없었고, 서로 인사하는 대화는 배의 소식을 들었는지 물어보는 것뿐이었다. 하지만 당연히 들은 사람은 없었다.마을 사람들은 행방불명인 배를 찾으러 나간 후에 바닷가로 나와 그 배가 돌아오길 기다렸다.조수가 아직 떠나기 전인 그날 석양에, 앞바다에 어선 몇 척이 나타났다. 마을 사람들은 그 배의 그림자를 바라보며 희망의 한 줄기를 멀리 던지고, 그 배가 가까이 오길 기다렸다. 기다리는 마음은 불에 태워진 가죽처럼 점점 사그라들면서도, 몸은 얼음이 섞인 물에 담긴 듯이 떨렸다. 희망의 줄은 시선과 함께 그 배가 갯벌 가까이 다가올 때마다 날카로운 칼처럼 베이며 끊어져갔다.그 배는 폭풍우가 오기 전에 어인들이 고기를 잡으러 나간 배들이 아니었다."
"""그런데 가실 때 왜 말도 없이 떠나셨어요?""",점동이가 말했다. 그 어머니가 따라 나와 돌아오는 배를 기다리던 것이었다.어머니는 힘없이 대답했다.
"""복순이가 이제 말도 잘하고 걸을 거야.""",이와 같은 대화가 점동이 모자 사이에서만이 아니라 거기에 모인 여러 사람들사이에서도 거의 동일하게 이어졌다.배는 바닷가에 도착했다. 여러 사람들은 배를 향해 모여들었다. 배는 모래를긁는 소리를 내며 주르륵 바닥에 닻을 던지고 높게 솟아났다. 배 안에서는수건으로 싸매어진 시체 다섯 개만이 누워있었다. 배의 사람들은 시체의가족 이름을 불렀다.그 가족들은 배로 들어갔다. 배 안에서는 슬픈 울음소리가 울려 퍼졌다.이름을 부르며 
"""그 동안 어떻게 지내셨나요?""","라고 웃음소리가 섞인 울음소리가 들렸다.다른 사람들 사이에는 행복을 얻지 못해 원망하는 듯한 얼굴로 초연히돌아가는 이도 있었다.얼마 후에 그 시체들은 바닷가 모래 언덕 위로 옮겨졌다.하지만 물에 빠진 시체인 그 사람들은 생명이 떠 있는 상태에서도 무엇을생각하든지 그 시체들은 서로 손을 잡고 마치 생선을 엮듯이 단단히 매었다.이 손과 손을 서로 매는 것은 마을 사람들에게는 해석하기 어려운 수수께끼였다.물론 시체를 수습하러 나간 마을 사람들이 매은 것은 아니었다. 그들은 물에서건져온 그대로 배에 싣고 돌아온 것이었다. 그들은 난파에 대비하여 생명이떠난 시체로 마을에 돌아가야 할 상황이 오면 뒷일을 도와주기 위해 또는 한배에서 최후의 운명을 함께하였음을 표시하기 위해 손을 잡고 매었다.이것이 생선을 엮듯이 늘어놓은 시체를 대변하는 말이었다.이 시체들은 집으로 돌아갈 권리마저 생명이 떠나감과 함께 잃어버렸다.그 바닷가에서 밤을 지내게 되었다. 이는 남아 있는 가족의 행복을 위해서였다.그러나 다른 사람들은 영원히 그들의 소식을 알 수 없었다. 어촌 앞바다에배가 오면 소식을 알 수 없는 가족들은 가슴을 쥐며 갯가로 달려들었지만,그것은 매양할 수 없는 장삿배나 그 마을 다른 사람들의 돌아오는 배였을 뿐이었다.성팔의 처도 그러한 사람 중 한 사람이었다. 그의 집에는 항상 성팔의 밥그릇이그 방 아랫목에 파묻혀 있었다. 이는 성팔의 생사를 점치기 위한 것이었다.이 마을에는 이러한 미신이 예전부터 있었다. 성팔과 같이 행방불명이 된 사람의밥그릇을 열 때 뚜껑에서 물방울이 떨어지면 그 식기의 주인은 아직 살아 있다는 것을,그렇지 않고 물기가 없으면 그 사람은 죽었다고 판단했다. 그래서 그들은 식기를방 아랫목에 묻어두고 밥을 바꿀 때마다 뚜껑을 열어 물이 떨어지는지 확인하는것이었다.이를 확인하는 일은 그 모자에게는 거의 큰 사건이 되었다. 점동이가 가끔식식기의 뚜껑을 열어볼 때, 식기 뚜껑에 맺힌 이슬이 주르륵 흘러내렸다.그럴 때마다 자기 아버지는 살아 있는 것을 기뻐하며"
"""아저머이! 나는 복순이야. 복순 어머니가 어디에 있고 어떻게 지내는지 난 몰라!""","처음에는 매우 수줍어했던 이 호칭이 점점 익숙해지고, 그의 목소리만 들으면 남편임을 알 수 있을 정도로 익숙해졌습니다. 그의 눈에는 이 세상에 남편 이외의 존재는 없었습니다. 그의 부모조차 지금은 남편의 손톱만큼도 중요하지 않았습니다. 남편은 그녀에게 유일한 사람으로 남았습니다.남편이 밭에서 힘들게 일하는 점심 광주리를 메고 나가는 즐거움과 늦게 돌아오는 남편을 기다리며 고대하는 쾌감은 매일 느끼는 것이지만 점점 새롭고 즐거웠습니다. 때때로 남편에 대해 생각해 보곤 했습니다.저 사람은 도대체 누굴까요? 2년 전까지는 듣도 보지 못한 사람, 꿈에서도 본 적 없는 사람. 이 세상에 그런 사람이 있었는지도 몰랐던 사람. 나를 부모의 손아래서 벗어나게 해준 사람. 하루 세 끼 밥만 준비해 주는 사람, 마음대로 나를 꾸짖는 사람, 때때로 화가 나면 내 귀를 때리는 사람. 발길질을 도와주는 사람. 그 사람이 곁에 있으면 마음이 편안해지고 밭에 나가면 조용하며 장에 가면 기다리는 이러한 사람이 도대체 누구일까요.그리고 미소를 지으며 다시 바느질을 이어나가는 것이었습니다.어느 봄날, 순이네 동네에 재봉사가 왔습니다. 재봉사도 젊은 사내였습니다. 재봉사는 순이의 집을 방문했지만 베를 사지 않았습니다. 순이는 직접 손으로 짜는 옷을 입기 때문에 베를 사지 않았습니다. 재봉사는 강요하지도 않고 돌아갔습니다.순이는 우물에서 불을 피워가며 집 앞에서 재봉사를 만났습니다. 재봉사는 순이를 바라봤고, 순이도 재봉사를 흘긋 보았습니다. 그리고 재봉사와 눈이 마주친 순이는 급히 시선을 돌렸습니다. 하지만 순이는 재봉사의 시선이 자신을 따라오는 것을 느꼈습니다.순이는 서둘러 항아리에 물을 따르고 방 안으로 들어가 거울을 보았습니다. 하지만 얼굴에는 흙과 먼지 말고는 아무것도 없었습니다.순이가 동안에 머리에 물을 뿌려 참을 수 없을 때, 뒤에서 갑자기 혀를 차는 소리가 들렸습니다. 돌아보니 거기에는 재봉사가 웃음을 짓고 서 있었습니다."
"""사실 나는 왜 이렇게 된 것을 말하려는지. 내가 아저머이를 평범한 부인들처럼 알고 있다면 이런 말도 안 할 텐데, 아저머이는 글을 쓴다는 말을 들었으니... 그 글은 지금까지 어떤 글을 썼는지 난 몰라...""", 이렇게 생각하며 순이도 조금 웃어 보였습니다. 그리고 그 이후로는 잘못한 짓을 한 듯이 황망하게 동안을 이어 집으로 돌아왔습니다.그의 집 뒷마당에는 세 그루의 복숭아 나무가 만발한 꽃을 피웠다. 집으로 돌아온 순이는 동안 물을 처리한 후에 정신 없는 사람처럼 뒷마당로 나가서 멍하니 서 있었다.
"""나는 밤마다 어떤 악몽에 시달려. 나는 이 꿈에서 벗어나기 위해 다양한 시도를 해봤지만 전혀 효과가 없고 오히려 점점 심해져. 그래서 이제는 꿈인지 현실인지, 현실인지 꿈인지 구별할 수 없을 만큼 되었어. 그래서 밤마다 겁을 먹어. 꿈이라고 말하면 이렇게야. 나는 눈을 감으면 이미 어떤 기괴하게 생긴 인간들이 내 앞에 나타나서 날 끌고 어둠의 세계로 가. 그 인간들은 분명히 인간 같지만 난 그들과 같지 않아. 그리고 날 끌어둔 곳도 분명히 이 세상이지만 어둡고 음침해."""," 이런 생각이 때때로 그의 마음을 스치며 지나갔다.하지만 그 생각이 그를 이렇게 뒷마당에 서 있게 한 것이 아니었다.그럼에도 불구하고 그의 마음을 사로잡은 것은 무엇일까? 순이로서도 알지 못했다. 그것은 봄날 때문일까? 젊음 때문일까? 베실 재봉사 때문일까? 나무에서 울리는 새들 때문일까? 순이는 알 수 없었지만, 근심스럽고 상쾌한 생각이 그의 마음을 끊임없이 도발하고 흔들었다."
"""그런 일이 혹시 현실에 실재할 수도 있을 것 같아?"" ""조금 쉬세요. 너무 공부해서 건강이 나빠지면 어떡하죠?""","남편이 그의 등 뒤로 다가와 어깨를 툭 칠 때에도 그는 순간 놀라며 움직임이 멈추었다. 이전과 같았다면 화를 낼 노력과 애교, 원망을 남편에게 퍼부어 던지는 그였지만 이번에는 억지로 조금 웃음을 얼굴에 띄우게 되었다.남편이 그의 얼굴을 굽혀 보았다."
"""너도 개성이 드러나기 시작했구나.""",
"""나는 너를 사랑한다""",순이는 치마를 한 번 탁탁 터트리고 돌아서 부엌으로 들어갔다.남편은 열쩍은 듯이 거기로 떠나갔다.
"""여보세요, P씨""",이 근심스럽고 상쾌한 한 마디의 말은 저녁을 준비하는 동안 순이의 머리에 달라붙어 떨어지지 않았다. 때때로 저녁 준비를 하던 손이 뜻 없이 멈추고 멀리 산을 바라보게 되었다.그날 저녁 같이 맛없는 식사를 순이는 아직까지 맛보지 못했다. 억지로 몇 숟가락 먹어보고는 그것을 내어놓고 부엌을 나갔다.밤이 되었다.아랫집에는 시어머니와 시아버지가 잠들었다. 위층에는 젊은 부부가 잠들었다. 아랫집과 위층 사이에는 문턱만 있을 뿐 문은 없었다.지친 아이들과 노인은 곧 잠이 들었다. 코로 숨을 들이마시고 입으로 내쉬는 시아버지의 코 소리와 요란하게 코를 고는 시어머니의 소리를 듣고 젊은 부부는 잠시 속삭였다. 그러나 마음이 이상하게 들뜬 순이에게는 이날의 속삭임이 이전과 같이 따뜻하지 않았다.
"""왜 그러세요?""",이 이상한 한 마디의 말은 그녀의 마음에서 떠나지 않았다. 남편도 어느새 팔을 아내의 가슴에 얹고 잠에 들었다. 그러나 젊은 아내는 잠에 들지 못했다.
"""나는 P씨에게 얘기할 게 있습니다.""","조금 밝아지고 있었다. 갑작스럽게 밖에서 사람의 존재를 느꼈다. 그들의 집은 길가에 있는 집이다. 문을 나서면 길이 있는데, 길에서 사람의 존재를 느꼈다."
"""무슨 얘기야? 빨리 하세요. 학교 시간이 급하다.""",혓바닥이 차는 소리였다. 순이는 몸을 떨었다. 무서운 것을 보는 듯이 몸을 움츠렸다. 그리고 보호를 청하는 듯이 남편의 목에 팔을 걸고 남편의 가슴에 꼭 안겼다. 가슴에서는 무서운 두드림이 되풀이되었다.
"""나도 그대를 사랑해""",길에서는 혓바닥을 차는 소리가 다시 들렸다. 순이는 그 소리를 듣지 않기 위해 이불을 깊이 뒤집어썼다. 그리고 얼굴을 남편의 가슴에 파묻었다.
"""나는 당신을 사랑합니다.""","순이는 속으로 남편에게 호소했다. 깊이 잠든 남편은 천하가 평화롭다는 듯이 긴 숨을 쉬고 있었다.얼마 지난 후, 순이는 이불 밖으로 머리를 내놓았다. 한참을 기다렸지만 이제는 밖에서 사람의 존재를 느끼지 못했다."
"""네, 무슨 말이야?""",순이는 안심의 한숨을 깊게 내쉬었다. 그러나 그 안심 속에 실망과 기대가 상당히 섞여있다는 것을 스스로 부정할 수 없었다.
"""안녕히 가세요.""",하는 안심 속에는
"""사랑하는 사람이 있나요?""",하는 원한이 꽤나 섞여 있었다. 한참 후에 순이는 뒷마당으로 갔다. 특별한 이유는 없었지만 뜰 밖으로 한번 나가보고 싶어서 간 것이었다.뒷마당에서 돌아오는 길에 순이는 복숭아나무 아래에 섰다. 꽃 사이로 달이 보였다. 별빛마저 어스름해졌다. 봄은 하늘에도 피어났다.
"""사랑을 구하기 위해서는 세 가지 필요한 자격이 있다. 이 세 가지는 황금, 미모, 재능(才能)이다. 황금과 미모, 재능 중에서 하나 이상을 갖춘 사람은 최상의 자격을 갖춘 것이고, 두 가지 중 하나만 갖춘 사람은 그다지 자격이 없지는 않지만, 하나만 갖춘 사람은 다수의 경우에 사랑을 얻을 자격이 미미하다. 그러나 귀하는 불행하게도 첫 번째 자격에 속하지 못하고 두 번째 자격에 속하는 사람입니다.""","순이는 복숭아나무 아래 서서 하늘을 바라보며 한숨을 내쉬었다.누군가 순이를 꽉 안았다. 순간적인 기쁨과 놀람에 순이가 돌아보려 할 때, 상대방의 불타는 입술이 순이의 뺨을 스쳤다. 상대방의 입술이 순이의 입술을 찾아 돌아다녔다."
"""두 번째 자격, 즉 미모와 재능이라 함은 황금과 미모와 재능을 모두 갖춘 사람을 의미합니다. 그러므로 귀하는 최후의 하나만 남은 사람이므로 귀하는 생존 경쟁에서 열패하는 자격이 충분한 것입니다. 매우 유감스럽게도 귀하의 사랑을 사양하게 되었습니다.""",순이는 작은 목소리로 소리쳤다.
"""맞아, 나는 황금과 미모가 없어.""",상대방의 뜨거운 숨이 순이의 입 근처에서 돌아다녔다.
"""재능은 최하위입니다. 재능은 사랑을 구할 자격이 없습니다.""","순이는 다시 작은 목소리로 소리쳤다. 그러나 이번에도 상대방의 응답은 없었다. 상대방의 양손은 어느새 순이의 양뺨을 쥐었다. 상대방의 입술은 마침내 찾아냈다. 순이는 가만히 있었다.잠시 후, 먼지를 털고 방 안으로 들어온 순이는 옷을 벗고 남편의 곁으로 들어가서 자신의 입으로 남편의 뺨을 가볍게 문질렀다. 깊이 잠든 남편이 조금씩 몸을 웅크렸을 때, 순이는 온몸을 남편에게 꽉 안았다. 그리고 힘을 다해 남편을 포옹했다.다음날은 장봉사 날이었다.시부모님은 밭에 나갔다. 남편은 장을 보러 가려고 했지만, 순이는 남편을 멈추었다."
"""그게 뭔데요?""",그렇게 탄식하며 말했다.
"""먹을 거야. 어서 가져와라.""",그렇게 제안도 해보았다.
"""그래, 나는 황금과 미모가 없어.""",그렇게 탄식하며 부탁도 해보았다.이상한 공포감에 위협받은 순이는 오늘은 집에 혼자 있기 싫었다. 시동생들이 있다 하더라도 아무래도 어른이 한 사람 있어 주지 않으면 그녀에게는 (무엇이 무서운지) 무서웠다. 집을 찾아오는 사람이 있을 때마다 순이는 몸을 흠칫하며 놀랐다.아내가 말리고 있었지만 남편은 장으로 갔다. 자기가 가지 않으면 안 될 일이 있다고 생각하고서 남편이 장에 간 후에 순이는 문을 꼭 닫고 시동생들이 밖으로 나가지 못하도록 엄격하게 다스렸다. 어린 시동생들이 큰 소리로 노는 때에도 순이는 놀라면서 잠시 손을 흔들고 그렇게 조용히 해달라고 속삭였다. 작은 소리라도 밖에 새어 나갈까봐 그러았다.
"""무슨 일이에요?""",순이는 큰 시동생에게 물어봤다.
"""하하.""",
"""당신은 얼굴이 아름답네요. 나는 얼굴이 추하고 돈이 없어요.""",
"""실망스럽네요.""",시동생은 결론을 내렸다. 순이는 그 시동생을 흘겨봤다. 그러나 곧 자기 스스로 말을 취소했다.
"""실연일까요?""",그리고 눈이 동그랗게 된 시동생을 내버렸다.다시 밤이 되었다.시부모와 시동생들은 여전히 잠들었다. 그것을 기다리며 아내는 이불을 끌어당겨 남편과 자기의 머리까지 가려서 입을 남편의 귀에 가까이 대고 살짝 속삭였다.
"""글쎄요.""",왜 그러느냐는 남편의 질문에 순이는 유난히 무서워서 누가 깨어 있어 주지 않으면 견딜 수 없다고 대답했다.남편은 아내의 등을 쓸었다.
"""당신이 김준원이라는 사람이군요. 잘 오셨어요, 앉으세요.""",그러면서도 남편은 아내를 감싸 안아 주었다. 아내는 달콤하게 웃으며 머리를 남편의 가슴에 대었다.한참 후에 아내의 허리에 걸려 있던 남편의 팔은 힘 없이 미끄러졌다. 피곤한 그는 어느새 잠이 든 것이다.아내는 남편의 옆구리를 주먹으로 찔렀다. 남편은 잠에서 깨었다.
"""한 잔 드세요. 황금도 없고 미모도 없고 생존 경쟁에서 지는 사람은 술을 마셔야죠.""",
"""나도 근일에 서양 철학사를 보았습니다... 헤, 헤, 보았어요. 탈레스라는 사람이 세상은 물로 되었다고 그랬습니다. 그런 미련한 놈이 어디 있을까요. 우주가 물로 되었다면 불을 어떻게 해석하려고 그러는 거에요. 하하 그런 놈들은 다 철학자라고... 하하 게다가 철학자의 시조라고...""",순이는 울다시피 애원했다.
"""그게 말이 돼요... 아, 지금 무슨 말을 하고 있었더라.""",그러나 피곤한 남편은 노역에 힘들어서 한 마디 말을 겨우 꺼내고 다시 잠에 빠졌다.밤이 깊어질수록 차차 더 어두워졌다.
"""탈레스를 비판하네요.""",문 밖에서는 혀를 차는 소리가 다시 들렸다. 어젯밤 순이를 보내줄 때의 약속을 믿고 베장수가 다시 찾아온 것이었다. 순이는 이번에는 더 엄격하게 이불을 썼다. 그러나 얼마나 엄격하게 써도 순이는 밖에서 어떤 소리가 날까 두려워하며 귀를 쫑긋 세워서 주의 깊게 기다렸다.
"""맞아요, 맞아요, 탈레스. 탈레스. 그런 미련한 놈이.""",밖에서 다시 혀를 차는 소리가 들렸다. 순이는 잠시 깜짝 놀랐다. 옷을 걸치고 밖으로 나갔다. 베장수가 순이를 기다리고 있었다. 순이는 베장수를 보고는 그냥 지나치려고 했지만 베장수 앞을 지나칠 때 베장수를 보았다.
"""나는 - 이 윤광호 씨는 말이에요 - 나는 우주는 '돈'으로 되었다고 말합니다.""",베장수는 순이가 자기 앞을 지나갈 때 주의를 기울이기 위해 그녀를 찾아보았지만 순이는 한 번 히끈 돌아보고는 그냥 통과했다.하지만 베장수는 이미 순이의 심정을 알고 있었으며 순이의 마음을 잡았다는 확신을 가지고 있었다. 그래서 순이의 뒤를 쫓지 않고 그 자리에 머물러 서 있었다.순이는 베장수의 앞을 그냥 지나치려고 했지만 더 갈 곳이 없었다. 잠시 샛길로 들어가서 무작정 서 있었다가 다시 집으로 향했다.순이는 집 앞에서 베장수를 만났다. 베장수는 양 팔을 벌려 순이를 포옹했다. 그 품 안에서 순이는 몸을 사시감은 나무처럼 떨고 있었다.잠시 순이를 포옹하며 말없이 서 있던 베장수는 발을 옮기며 말을 걸었다. 순이는 입을 막고 있었다.
"""이 좋은 술도 돈만 주면 옵니다. 돈만 있으면 가지지 못할 것이 없고 하지 못할 일이 없어요.""","베장수가 물었을 때도 순이는 입을 막아 묵묵히 있었다.다음 날, 시부모와 남편이 늦게 집에 돌아왔을 때 순이가 없어졌음을 알았다.마을로 갔을지도 모르겠다고 생각하며 기다렸지만 순이는 깊은 밤까지 돌아오지 않았다. 좀 먼 곳으로 갔을지도 모르겠다고 생각하며 기다렸지만 다음 날에도 돌아오지 않았다. 순이는 완전히 사라졌다.가족들은 순이가 어디로 간 것을 알 수 없어 마음이 뒤집혔다. 어떤 흔적도 찾을 수 없었다.그들은 결국 경찰서에 신고해야 했다.닷새 후에 읍내 경찰서로 베장수와 함께 순이가 붙잡혔다는 통지가 전해졌다.남편은 서둘러 읍내로 들어갔다.경찰서에서 남편과 아내가 대면했다. 그때 아내는 울면서 남편의 팔에 매달려서 울었다. 남편은 성과 결이 독한 사람이었지만 경관의 제지에도 순순히 아내를 차고 때렸다. 그럴 때도 순이는 아무런 반항도 없이 남편의 팔에 매달려서 "
"""왜 말이 없어요. 그래요? 내 말이 맞지요?""",라고 탄식했다.
"""무슨 일이에요? 왜 이런 모습이 되었어요?""","경관이 쿨쿨한 말투로 물었을 때, 순이는 경관을 무시하며 흘렀다."
"""하하. 돈이 없어서, 네 돈이 없어서.""",순이는 이렇게 대답했다.
"""이것이 없어서. 네 말 그대로.""","경관이 다시 물었을 때, 순이는 몸을 한 번 떨며 대답하지 않았다.사소한 타협이 이루어졌다. 경관의 중재와 남편의 사과로 다시 함께 사는 것으로 결정되었다. 그리고 경관은 의좋게 경찰서를 떠났다.경찰서를 나올 때, 어떤 순사가 농담처럼 순이에게 물었다."
"""또 이것이 잘못 생겼어요. 하나님이 이걸 만들 때에는 좀 싫증이 났던지 눈과 코를 어떻게든 만들어서 붙이고... 글쎄, 이렇게 못 생기게 만들었을 거야.""","순이는 남편을 한 번 힐끗 쳐다보고 남편이 보지 않게 순사에게 고개를 저어 베장수를 싫어하지 않는다는 뜻을 표현했다.경찰서 문 밖에서 남편에게서 왜 달아났냐는 질문을 받을 때, 순이는 애원하는 듯이 그런 말은 다시 하지 말아달라고 부탁했지만 대답하지 않았다. 그러나 집에 돌아와서는 이런 말을 했다."
"""글쎄, 이렇게 못 생기게 취하게 만들 방법이 어디 있어요.""","부처는 다시 본촌으로 돌아갔다. 전과 같이 평온하고 행복한 생활이 계속되었다.순이가 왜 베장수와 함께 달아났는지, 먹을 것이 없었는지, 입을 것이 없었는지, 남편에 대한 애정이 없었는지, 시부모가 학대했는지, 시동생이 귀찮았는지, 생활에 대한 불만이 있었는지, 혹은 뒷마당의 복숭아나무가 보기 싫었는지와 같은 근거나 달아날 이유는 없었다. 그렇다면 왜 베장수와 달아났을까?여인은 수수께끼다. 사랑은 마치 배와 능금을 같이 절반씩 갈라 좌우로 붙일 수 있는 수수께끼이며, 또한 우리에게 풀 수 없는 거대한 수수께끼이기도 하다.순이가 왜 달아났을까?또 다른 가능성으로는, 이것 역시 신문에 보도된 여인의 기묘한 심리적 변동이다.역시 이 이야기의 배경은 농촌이다. 주인공은 여전히 젊은 부부였다.이번 아내의 이름은 서분이라고 해보자.서분이는 19세였고, 그 남편은 17세였다. 결혼한 지 3년이었다.부부 사이의 불화를 주변 사람들은 기뻐했다. 시부모와 친척들도 좋아했다. 서분이 자신도 나쁘다고 생각하지 않았다."
"""좀 하얗게 닦아주지야 왜 못하겠어.""","이것이 서분이가 남편에 대해 가지고 있는 관념이었다. 그에게는 남편이 특별히 좋은 점은 없었지만 밉게 보이지도 않았다. 때때로 화를 내며 싸우고 싶을 때는 욕을 하기도 하고 때로는 쥐어박고 싶을 때도 있었지만, 그렇다 해도 밉다고는 보이지 않았다. 사람이 시집 가는 것은 결혼하면서 남편이라는 존재가 생기는 것. 그에 대한 관념과 남편에 대한 이해는 크게 나아가지 않았다. 남편과 아내 사이에서 필연적으로 생기는 의무, 권리, 의리, 애정이라는 것을 알지도 못했다.남편이란 것은 시집의 아들이자 자기를 맘대로 대해먹는 사람이며 밤에는 같은 자리에서 자야 하는 사람이다. 그 외에는 남편에 대한 어떤 인식과 이해도 없었다.건너편 동네에서 어떤 사람이 남편의 음식에 독약을 넣어 독살을 계획한 일이 이 동네까지 소문이 났다. 또 다른 동네에서는 어떤 사람이 자고 있는 남편의 목을 조르려다가 들키게 되었다. 서분이의 동네에서도 어떤 젊은 아내가 남편과 공모하여 방망이로 때려 죽인 일이 있었다.이런 몇 가지 사건은 서분이의 마음에 이상하게 영향을 미쳤다. 농촌에서 태어나고 자라도록 한 서분이지만 현대의 영향을 받지 않을 수 없었다. 도시의 여성들이 독약 같은 것을 가지고 남편을 (가장 비밀스럽게) 살해하는 일을 계획하고, 사랑조차 하지 않는 사람의 사진을 열람하며 한숨지으면서 숭배하는 것처럼 생각되어 서분이에게는 농촌적인 마음과 함께 시대적인 동요가 있었다."
"""왜 웃어? 응, 왜 웃어요. 내 이 얼굴이 우습소. 이 창조주의 싫증이 나서 어떻게든 만들어놓은 이 얼굴이 우습소?""","주변에서 남편을 독살하거나 살해하지 않은 경우들로 인해 서분이의 마음에 먼저 그림자가 드리워졌다.이것만으로도 큰 문제가 되지 않았을 텐데, 그림자가 서분이의 마음에 깊게 박혀 제2의 단계로 나아갈 준비를 하지 않았다."
